alpha	noalpha
-2968.025155	-3007.303529
-2968.118674	-3007.517580
-2967.996854	-3008.426858
-2964.992067	-2999.809718
-2970.698323	-3016.375875
-2964.027912	-3000.816823
-2970.131958	-3014.318059
-2971.318638	-3017.587778
-2971.923141	-3019.914966
-2965.030050	-2996.395433
-2965.976918	-3003.657222
-2963.151331	-2994.089596
-2962.120977	-2992.858164
-2971.608893	-3019.064902
-2967.762676	-3007.625799
-2962.541113	-2997.125584
-2968.067159	-3008.654552
-2960.920493	-2993.705585
-2961.040960	-2993.842507
-2968.143893	-3007.428583
-2968.237395	-3007.642358
-2968.113402	-3008.545286
-2965.110059	-2999.940740
-2970.815788	-3016.487128
-2964.144718	-3000.941718
-2970.250331	-3014.434270
-2971.434575	-3017.695880
-2972.040413	-3020.021978
-2965.160410	-2996.552872
-2966.094222	-3003.780979
-2963.274679	-2994.236060
-2962.241533	-2992.999981
-2971.725867	-3019.172069
-2967.880160	-3007.747942
-2962.660375	-2997.257940
-2968.183762	-3008.772793
-2968.501944	-3009.558928
-2961.460029	-2995.214265
-2968.518894	-3008.371544
-2968.610996	-3008.576003
-2968.430122	-3009.334402
-2965.466059	-3001.096992
-2971.160768	-3017.082787
-2964.467678	-3001.879270
-2970.618711	-3015.197333
-2971.738172	-3018.172917
-2972.378067	-3020.452864
-2965.823200	-2998.656049
-2966.429734	-3004.679245
-2963.775482	-2995.950011
-2962.665286	-2994.548510
-2972.055596	-3019.610365
-2968.220844	-3008.615437
-2963.048021	-2998.463282
-2963.635366	-2997.393097
-2969.197552	-3009.319630
-2961.998403	-2993.883584
-2969.126341	-3007.793692
-2969.220533	-3008.016260
-2969.127776	-3009.088151
-2966.102569	-3000.105336
-2971.825388	-3017.126362
-2965.152501	-3001.296094
-2971.243583	-3015.009000
-2972.470204	-3018.378308
-2973.051996	-3020.715493
-2965.988970	-2996.167785
-2967.095545	-3004.174684
-2964.191871	-2994.081607
-2963.199118	-2992.942446
-2972.741371	-3019.865023
-2968.879385	-3008.200795
-2970.550686	-3009.342913
-2965.401468	-2999.485144
-2970.821841	-3010.147447
-2963.834397	-2996.350366
-2970.868214	-3009.201125
-2970.959702	-3009.397898
-2970.749070	-3009.928886
-2967.801693	-3002.083799
-2973.510391	-3017.528758
-2966.786501	-3002.711952
-2972.973787	-3015.740587
-2974.059722	-3018.562642
-2974.728025	-3020.826308
-2968.324370	-3000.287472
-2968.757171	-3005.480127
-2966.191222	-2997.318159
-2965.039608	-2995.804879
-2974.400105	-3019.985454
-2968.677783	-3014.432502
-2964.825582	-3003.136828
-2959.638115	-2992.785832
-2965.117387	-3004.150415
-2958.040324	-2989.446179
-2965.110878	-3002.838832
-2965.203530	-3003.048768
-2965.045925	-3003.922853
-2962.068106	-2995.448631
-2967.779165	-3011.830969
